,Internal Contact ID,Latitude,Longitude,BOROUGH,CUR_UNIT11,DEVELOPMEN,NONRES_BLD,RES_BLDG,TDS_NUM,TOT_POP11
52880,87349,40.8135998,-73.9250921,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52881,87350,40.8135998,-73.9250921,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52883,87352,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52884,87353,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52886,87355,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52887,87356,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52888,87357,40.8134667,-73.9232611,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52890,87359,40.8143795,-73.9218216,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52891,87360,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52892,87361,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52893,87362,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52894,87363,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52895,87364,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52897,87367,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52900,87370,40.814486,-73.922739,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52902,87372,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52905,87375,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52906,87376,40.8134667,-73.9232611,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52907,87377,40.8135998,-73.9250921,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52909,87379,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
