,Internal Contact ID,Latitude,Longitude,BOROUGH,CUR_UNIT11,DEVELOPMEN,NONRES_BLD,RES_BLDG,TDS_NUM,TOT_POP11
53514,88556,40.7896967,-73.9435243,MANHATTAN,247.0,WHITE,0.0,1.0,124,264.0
53528,88778,40.819949,-73.8462739,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53529,88779,40.819949,-73.8462739,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53532,88784,40.819949,-73.8462739,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53533,88785,40.819949,-73.8462739,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53535,88787,40.819949,-73.8462739,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53536,88788,40.8173688,-73.8498925,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53537,88789,40.819949,-73.8462739,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53538,88790,40.819831,-73.8486946,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53539,88791,40.8173688,-73.8498925,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53541,88793,40.8173688,-73.8498925,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53542,88794,40.8173688,-73.8498925,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53543,88795,40.8173688,-73.8498925,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53545,88797,40.819949,-73.8462739,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53546,88800,40.819949,-73.8462739,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53564,88877,40.8173688,-73.8498925,BRONX,2023.0,CASTLE HILL,0.0,14.0,080,4997.0
53585,88937,40.7741372,-73.9365267,QUEENS,1104.0,ASTORIA,0.0,22.0,026,3148.0
53594,88947,40.8165698,-73.909018,BRONX,1007.0,SAINT MARY'S PARK,0.0,6.0,093,2345.0
53617,88976,40.7940546,-73.9380213,MANHATTAN,1486.0,JEFFERSON,1.0,18.0,064,3560.0
53660,89064,40.5736019,-73.9973752,BROOKLYN,598.0,SURFSIDE GARDENS,0.0,5.0,170,1160.0
53689,90857,40.6769583,-74.007192,BROOKLYN,1470.0,RED HOOK WEST,1.0,14.0,079,3243.0
53690,90863,40.6745423,-74.0023898,BROOKLYN,1407.0,RED HOOK EAST,2.0,16.0,004,2940.0
53691,90866,40.6752964,-74.0036671,BROOKLYN,1407.0,RED HOOK EAST,2.0,16.0,004,2940.0
53762,90949,40.6088822,-73.7518291,QUEENS,603.0,REDFERN,0.0,9.0,055,1655.0
53763,90950,40.6088822,-73.7518291,QUEENS,603.0,REDFERN,0.0,9.0,055,1655.0
53764,90951,40.6088822,-73.7518291,QUEENS,603.0,REDFERN,0.0,9.0,055,1655.0
53765,90952,40.6088822,-73.7518291,QUEENS,603.0,REDFERN,0.0,9.0,055,1655.0
53766,90953,40.6088822,-73.7518291,QUEENS,603.0,REDFERN,0.0,9.0,055,1655.0
53776,90969,40.597461,-73.7857146,QUEENS,1387.0,OCEAN BAY APARTMENTS (BAYSIDE),0.0,24.0,098,3641.0
53797,90998,40.6088822,-73.7518291,QUEENS,603.0,REDFERN,0.0,9.0,055,1655.0
53798,90999,40.6088822,-73.7518291,QUEENS,603.0,REDFERN,0.0,9.0,055,1655.0
